A000001,A000002,A000005,A000009,A000010,A000019,A000035,A000040,A000041,A000069,A000120,A000123,A000124,A000161,A000203,A000217,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001462,A001481,A001511,A001615,A001969,A002033,A002113,A002322,A002378,A002487,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
1,2,12,32992,24,4,1,359,4697205,143,4,42774,2557,0,195,2556,5041,62196,7526,121836,357911,25411681,13,-9600560640,6,20,6126120,0,409,257,2964780,16,36,123,1031,3,7735,2,5,3,1,217,17,178,4,144,142,76,626,6,5112,13,1260,1,98,219,8,1728,0,35,94,308,114,143,3,142,3,462,13339535,1323652,55440,162512286,0,0,96,2,1,15,6300,1,14,15,5,11,-56,7,1,1,4,263
50,1,2,36352,72,16,0,367,5392783,145,2,45564,2629,1,74,2628,5184,64824,7740,127020,373248,26873856,74,1463791322,1,21,6846840,6,415,263,3265920,1,-36,1,1033,0,5330,1,1,2,1,218,17,180,1,74,144,1,636,72,5256,4,1296,2,99,223,1,312,4,36,95,312,115,145,4,144,73,462,-2637558,627396,332640,162512286,-1,0,98,73,3,13,6480,140100870,1,16,11,5,0,7,76,355,1,269
1,2,4,40026,36,4,1,373,6185689,146,3,48354,2702,1,114,2701,5329,67525,7957,132349,389017,28398241,38,4373119536,1,21,6846840,2,421,269,3483840,2,37,40,1049,3,6850,2,2,2,2,219,17,181,2,114,147,3,646,36,5402,15,1332,2,100,225,2,1776,8,36,97,318,118,147,5,146,37,330,357423,159027,1663200,66318474,1,1,99,2,5,11,6720,1,3,16,6,11,36,7,1,1,2,271
2,2,6,44046,40,2,0,379,7089500,148,3,51428,2776,1,124,2775,5476,70300,8177,137825,405224,29986576,124,-6425804700,2,21,6846840,8,427,271,3594432,4,-37,49,1051,5,6510,2,3,6,2,221,17,185,1,120,149,8,656,20,5550,11,1369,0,102,228,1,912,8,37,98,320,119,149,6,148,5,165,-32670,22275,6652800,10187685,0,1,100,3,7,9,6912,6,5,16,11,6,0,7,3,3,2,277
3,1,6,48446,36,2,1,383,8118264,151,4,54502,2851,0,140,2850,5625,73150,8400,143450,421875,31640625,20,-15693610240,2,21,6846840,6,429,277,3822588,4,38,64,1061,3,7602,2,3,2,1,226,17,193,3,120,150,8,666,18,5700,18,1406,0,104,229,4,2976,0,37,99,324,122,151,5,150,19,55,1925,1705,19958400,478271,0,0,102,2,9,7,7200,1,7,16,7,11,-10,7,8,11,2,281
4,2,4,53250,60,4,0,389,9289091,152,3,57906,2927,0,96,2926,5776,76076,8626,149226,438976,33362176,96,-8951543328,1,21,8953560,2,433,281,3940200,2,-38,19,1063,5,6100,2,2,4,2,235,18,194,1,96,153,3,676,30,5852,7,1444,0,105,237,1,480,0,38,101,330,123,153,4,152,11,11,-66,66,39916800,4083,1,1,104,7,11,5,7560,30,9,16,11,7,0,7,8,11,2,283
1,1,8,58499,24,6,1,397,10619863,155,4,61310,3004,0,168,3003,5929,79079,8855,155155,456533,35153041,56,3494159424,1,21,9699690,0,451,283,4245696,5,39,90,1091,4,8500,3,3,4,1,237,18,196,2,168,154,13,686,12,6006,17,1482,0,106,241,2,2304,0,38,103,336,127,155,5,154,13,1,1,1,39916800,1,-1,0,105,2,13,3,7680,1,11,16,8,11,1,7,3,3,2,289
6,1,2,64234,78,10,0,401,12132164,157,4,65044,3082,0,80,3081,6084,82160,9087,161239,474552,37015056,80,38116845680,1,22,12252240,8,463,289,4680000,1,-39,1,1093,7,6242,1,1,2,1,247,18,197,1,80,156,1,696,78,6162,10,1521,0,108,243,1,1344,0,39,105,340,129,157,4,156,79,1,479001600,1,1,1,-1,0,106,79,15,1,7776,3318,13,16,11,8,1,7,13,19,1,293
1,2,10,70488,32,4,1,409,13848650,158,5,68778,3161,0,186,3160,6241,85320,9322,167480,493039,38950081,6,4767866880,5,22,19399380,9,475,293,4696860,12,40,106,1151,5,8866,2,5,2,2,249,18,200,5,144,159,48,707,4,6320,13,1560,2,110,244,9,1920,0,39,106,342,130,159,3,158,5,12,-1486442880,4095,12,8178,0,1,108,2,1,16,8192,1,15,16,9,11,0,7,1,1,4,307
52,2,5,77312,54,155,0,419,15796476,161,2,72902,3241,1,121,3240,6400,88560,9560,173880,512000,40960000,121,1665188361,5,22,19399380,9,477,307,5515776,5,-40,40,1153,9,7381,1,4,5,1,253,18,202,1,108,160,8,717,54,6480,3,1600,1,111,247,1,144,8,40,107,348,131,161,4,160,3,66,1931559552,261625,132,1479726,0,0,110,3,2,15,8640,230010,1,17,11,9,-21,7,48,200,1,311
15,1,4,84756,40,10,1,421,18004327,162,3,77026,3322,1,126,3321,6561,91881,9801,180441,531441,43046721,42,-7394890608,1,22,19399380,8,483,311,5544672,2,41,44,1229,4,8410,2,2,2,2,254,18,205,2,126,163,3,727,40,6642,14,1640,2,112,252,2,2904,4,40,109,350,133,163,5,162,41,220,-1414014888,2532530,1320,45533450,1,1,111,2,3,14,9216,1,2,17,10,11,0,7,8,15,2,313
2,2,2,92864,82,6,0,431,20506255,164,3,81540,3404,1,84,3403,6724,95284,10045,187165,551368,45212176,84,-29335099668,1,23,19399380,6,487,313,5663616,1,-41,1,1231,5,6890,1,1,2,2,259,18,208,1,84,165,1,737,82,6806,11,1681,0,114,256,1,1008,8,41,110,352,134,165,6,164,83,495,657206836,7508501,11880,423281535,-1,1,112,83,4,13,9240,498,3,17,11,10,70,7,3,3,1,317
1,2,12,101698,24,6,1,433,23338469,167,4,86054,3487,0,224,3486,6889,98770,10292,194054,571787,47458321,32,6211086336,2,23,38798760,2,489,317,5848428,11,42,140,1277,7,10500,3,4,4,1,262,19,212,3,192,166,44,747,6,6972,19,1722,0,115,259,4,2016,0,41,111,354,137,167,5,166,7,792,-206070150,9321312,95040,1505621508,0,0,114,2,5,12,10080,1,4,17,1,12,0,7,1,1,4,331
15,1,4,111322,64,6,0,439,26543660,168,3,91018,3571,0,108,3570,7056,102340,10542,201110,592704,49787136,108,-33355661220,1,23,38798760,8,495,331,6004380,2,-42,23,1279,1,7540,2,2,4,2,265,19,218,1,108,169,3,757,16,7140,8,1764,4,116,268,1,768,0,42,113,360,138,169,6,168,17,924,44990231,5715424,665280,2275172004,1,1,115,5,6,11,10368,3404310,5,17,12,1,-84,7,44,113,1,337
1,1,4,121792,42,2,1,443,30167357,171,4,95982,3656,2,132,3655,7225,105995,10795,208335,614125,52200625,44,411016992,1,23,58198140,0,511,337,6065280,2,43,46,1289,3,9250,2,2,2,1,267,19,221,2,132,170,3,767,42,7310,21,1806,0,117,271,2,2592,16,42,115,364,139,171,7,170,43,792,-6926634,1899612,3991680,1505621508,1,0,116,2,7,10,10800,1,6,17,5,12,0,7,3,3,2,343
2,2,4,133184,56,2,0,449,34262962,173,4,101396,3742,0,120,3741,7396,109736,11051,215731,636056,54700816,120,32358470760,1,23,58198140,3,517,343,6324552,2,-43,33,1291,8,8420,2,2,4,1,274,19,225,1,120,172,3,777,28,7482,13,1849,0,118,273,1,1056,0,43,116,366,141,173,6,172,29,495,749463,359502,19958400,423281535,1,0,117,3,8,9,11520,6,7,17,12,5,45,7,3,3,1,347
1,1,8,145578,40,2,1,457,38887673,174,5,106810,3829,0,180,3828,7569,113564,11310,223300,658503,57289761,12,45164021760,3,23,58198140,4,519,347,6825840,7,44,92,1301,2,10370,2,4,2,2,278,19,226,4,144,175,20,787,10,7656,18,1892,0,119,277,8,2880,0,43,117,368,142,175,5,174,11,220,-55770,39325,79833600,45533450,0,1,118,2,9,8,12288,1,8,17,7,12,0,7,3,3,2,349
