
Final score (sorted):
model: an_1 + an_2                   ; error: 0              
model: an_1**3*an_3*an_36*n**2 + 20211216*an_2 + 20211216*n; error: 20211216       
model: 20211216*an_1 + n**2          ; error: 20211216       
model: an_1**2*an_2*an_4*n**3        ; error: 20211216       
model: 20211217*n                    ; error: 20211216       
model: 20211216*an_1*an_2 + n        ; error: 20211216       
model: 20211216*an_7*n**3 + n        ; error: 20211216       
model: 20211216*an_1**2*n**3 + an_2*n; error: 20211216       
model: an_1*n**3 + 20211216*n        ; error: 20211216       
model: 20211216*an_1**2*an_2*an_3*n**4 + 20211216*an_1 + an_5 + 20211216*n; error: 20211216       
model: an_13*n**3                    ; error: 20211216       
model: an_1*n**2 + 20211216*n        ; error: 20211216       
model: an_1*an_9*n + 20211216*an_1 + 20211216*n; error: 20211216       
model: 20211216*an_1**2 + an_1*n     ; error: 20211216       
model: 20211216*an_2 + 20211216*n**3 + n; error: 20211216       
model: an_2 + 20211216*n             ; error: 20211216       
model: an_2*n**2                     ; error: 20211216       
model: an_1**2*n                     ; error: 20211216       
model: 20211216*an_1**2*n + n        ; error: 20211216       
model: 20211216*an_1**3 + 20211216*an_1*an_4*n + an_2; error: 20211216       
model: an_1                          ; error: 20211216       
model: an_1**3 + 20211216*an_1 + 20211216*an_4; error: 20211216       
model: 20211216*an_1 + 20211216*an_2*n + n; error: 20211216       
model: n**2                          ; error: 20211216       
model: an_1 + 20211216*n**2          ; error: 20211216       
model: an_28*n + 20211216*n          ; error: 20211216       
model: n                             ; error: 20211216       
model: an_1**2                       ; error: 20211216       
model: 20211216*an_3 + n             ; error: 20211216       
model: n**3                          ; error: 20211216       
model: 20211216*an_1*n + an_2        ; error: 20211216       
model: an_1**3 + 20211216*an_1*n     ; error: 20211216       
model: an_1*an_5*n**2                ; error: 20211216       
model: an_1*n                        ; error: 20211216       
model: an_1*n**2                     ; error: 20211216       
model: an_1 + 20211216*an_2*an_3*n   ; error: 20211216       
model: 20211216*an_1*n**3 + n        ; error: 20211216       
model: an_1**2*an_2*n + 20211216*n**2; error: 20211216       
model: 20211216*an_1**2*n + an_2*n   ; error: 20211216       
model: 20211216*an_1*n**3 + an_2*n   ; error: 20211216       
